,Quants,LogicalReasoning,Verbal,Programming,CGPA,Networking,CloudComp,WebServices,DataAnalytics,QualityAssurance,AI,Placed,Gender,10th marks,12th marks,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N)
0,21,11,25,23,8.896569836946819,8.282824819109154,6.505212047378544,9.251942996370287,5.39872585227133,8.244669051232748,6.889346571377759,1,1,87.96095410849267,62.113439022185865,7.821027296732093,0,1,0,0.9996338244724317,2,1.000719519871796
1,20,17,16,15,7.621162688360856,6.162023103976992,7.3592101710347215,7.479663315304451,5.5689795559784,6.833493206305917,5.556933288875713,1,0,86.41122445676208,82.51097667855264,8.356595961629415,0,1,0,0.9998015463738164,1,1.0004501640923658
2,11,10,9,14,7.436575659155886,5.559615876012735,7.058347088181998,7.902901633486664,4.909903968135575,6.077958874669928,7.176377792264321,0,0,82.96220946330035,82.39723619159344,9.798501001663478,1,1,1,0.9998536920117073,1,1.0004367986093203
3,7,9,12,11,8.740554936771593,4.940452189422181,6.990451231530986,5.971946095245011,3.8864256627721425,3.7930491452539594,8.784874497487724,0,0,63.48377438555811,70.75285690012832,9.433283565546013,0,1,0,1.0001802745498296,1,-0.0006678409115431286
4,24,19,21,16,7.6469598837354855,8.058206722766318,9.41317943274997,7.871371370357935,6.489825179284101,6.825662263816869,8.72261170506775,1,1,83.14316987236336,84.37848426241919,6.894235100793708,1,1,1,0.9976867168347048,4,1.000176498508609
5,16,17,21,12,7.92976919700761,8.525827702439745,6.5567220577327845,8.647001389432589,8.112183534071425,5.420871984062385,6.640689373288143,1,1,96.71771349329703,62.74095664415129,8.228354674549578,1,0,0,0.9984445492010766,4,1.0022007555010777
6,10,11,17,12,7.485239595984664,3.820060562472819,5.488817171143694,7.933606461043824,3.7601599048445413,4.548714637777613,5.422074940856647,1,1,71.39609926107005,66.0919375931054,7.191289751160229,1,1,1,1.0007731240619617,1,0.000566391901298925
7,17,14,17,14,7.784769932680491,6.0166452085630056,7.350356677699342,7.711352701098676,2.4935963228371434,6.880570825809518,5.568486651518505,1,1,60.98146757388586,98.29872931261552,8.28237874735463,1,0,0,1.000620966357022,2,0.0009521935785209542
8,14,14,17,13,8.067723178789567,4.7208521056351636,5.071221369327507,7.914043089533672,6.654892906460314,4.622993797025024,5.892375772498534,0,0,88.78929155742665,80.42607534148358,6.451462489864406,0,1,1,-0.00017911992462842395,1,1.0002255772375308
9,12,21,16,8,9.843090140567849,6.122545031589891,7.4688652128002175,8.33128283181928,7.828718790254869,5.636278349099302,8.005443327929259,1,1,80.9464236516186,77.58330371944314,8.32353720580656,0,0,0,1.0002309781470957,5,1.0005934219204182
10,15,14,15,20,7.60057751070143,6.944851815676402,7.581439846179391,7.817971003474257,5.784860494833561,6.822849002976299,5.397450930831979,1,0,77.42638523426135,93.85345731965332,7.485878286784736,1,0,0,-0.0001442356491174485,2,1.0010101286245954
11,14,17,17,16,8.458694844294813,5.788627722962465,6.895372045182779,8.314174851680203,6.73830872608833,6.788572611296105,6.865892789418626,1,0,80.70891832412917,75.86402408446943,9.558701794606769,1,1,0,0.9988007570597256,1,1.000080271337781
12,21,21,20,11,8.76018128637105,8.634980073781996,9.179815294408549,8.92811835715112,8.121167197404642,7.97165933359063,9.514951705209779,1,1,81.49341699095797,71.74888948268654,7.442102837700996,0,0,0,0.9998842842393985,1,0.9999425464125892
13,10,16,19,14,8.673800452462007,8.318188136852942,7.508464496604283,8.437819971677094,6.5871791612524815,4.224215154759184,6.77714061321854,0,0,90.99480707879954,89.13517014759357,5.924338584063836,1,1,0,0.9986219073532936,1,0.9990187593856895
14,8,21,13,9,7.151266235268196,8.955524836740045,8.794651423167688,8.386459754355071,5.840507771772541,4.930144837190485,7.6982812523789,1,1,60.43643682820536,65.79220656048783,9.471717474132667,0,1,0,1.0001563601819354,5,1.0002164248481955
15,14,18,17,15,7.634116374545638,7.721000688328701,6.657308745772109,7.879753405027836,6.689629814138572,6.859127262039152,5.794637321005958,1,0,94.28889121507703,64.78675457234758,9.160571168791384,0,1,0,0.9995707304473059,1,1.000722164508936
16,22,7,12,9,8.255481154788319,7.323341671532205,9.25212504751481,8.30592226899671,7.83677508137769,9.070244072950604,8.819425587779799,1,1,69.73890102542605,88.06932591520253,9.207849383251599,0,0,0,0.997447841001958,2,0.9999516434746025
17,21,25,20,9,7.048671916070341,7.331796124294016,9.252301905141604,9.316001130104837,8.713628230699406,4.787076791846653,8.86520750641722,0,1,87.62360133928772,62.27634933154692,7.897942386949846,1,0,1,0.9995874264561238,4,0.9999592301032552
18,8,10,10,14,9.535605436234672,5.864504604374307,6.7989040302861605,6.597929381561815,3.0957872091879755,5.731076253624931,7.171312907178464,0,1,96.9942328807706,94.77141541040044,9.908869869541594,1,0,0,0.9997896720561812,5,1.0005878520968574
